trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.7, 'e': 4.2165626581210996e-05}",20,2,27.349221617314498,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 4.162330905306972e-05}",20,2,16.636189568661855,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 4.10913872452334e-05}",25,11,23.803712808566598,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 4.056959714390036e-05}",20,6,20.876472989084196,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.7, 'e': 4.00576830636116e-05}",20,12,14.892884607907602,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 3.955539733396622e-05}",30,10,28.982815267698026,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.7, 'e': 3.90625e-05}",25,13,20.474570650617142,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 3.8578758535550326e-05}",25,17,17.457896901167505,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.7, 'e': 3.8103947568968146e-05}",25,2,36.0449504566686,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 3.7637848620572846e-05}",25,8,33.28683452779507,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.7, 'e': 3.7180249851279e-05}",25,6,8.455667242857924,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
165,False,"{'a': 0.7, 'e': 3.6730945821854914e-05}",20,1,27.049414942923388,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 3.628973726230222e-05}",20,8,19.535006723194268,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.7, 'e': 3.58564308508731e-05}",25,12,24.886346651525567,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.7, 'e': 3.5430839002267575e-05}",20,15,10.749582135689469,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 3.501277966457757e-05}",20,1,30.39956439985388,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 3.460207612456748e-05}",20,9,18.438003817107926,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 3.419855682090216e-05}",35,15,38.84831101656864,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 3.380205516495403e-05}",30,20,16.96475558213471,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
